Workshop,Kategorie,Datum,Land,Location,Pole Studio,URL_E,Art,Level,Beschreibung,Trainer,Uhrzeit,Preis,Einheiten
Twerkshop by Maddie,Hip Hop,"Samstag, 22. März 2025",,"Solitudestraße 48, 71638 Ludwigsburg",Aerial Loft,https://www.eversports.de/e/workshop/bW5HryJ,Workshop,,"Hinweis zur Kleidung: Lässige und lockere Sportkleidung, Turnschuhe bzw. Sneaker (helle Sohle), wenn möglich bitte Knieschoner - dazu bitte Wasser und Handtuch mitbringen. Der Fokus beim Twerken liegt ganz klar auf dem rhythmischen Bewegen des Po's. Twerk hat sich die letzten Jahre als eigene Tanzrichtung entwickelt und erhält immer mehr Zuwachs in der Community und Anerkennung in der Tanzszene. Von kraftvollen und intensiven Twerk Kombinationen hat die Tanzrichtung auch eine sinnliche und weiche Seite. Der Workshop hat zwei Themen, zum ersten die Basics, wie funktioniert was und wie werden die Basics kombiniert. Mit dem Fitness Programm Twerxout® (Twerk&Workout) kombinieren wir die Basics zu rhythmischen Songs um eine Routine der Technik zu entwickeln. Das zweite Thema ist dann die Twerkography (Twerk&Choreo) hierbei geht es um den tänzerischen Part- ein Song, eine Choreo. Neben der Technik werden Ausdauer, Körperbeherrschung, Flexibilität und das Mindset gesteigert und gefördert. Twerk ist ein allround Workout was man nicht mehr missen möchte. Tolle Nebeneffekte wie Stärkung des Selbstbewusstsein und eigene Sinnlichkeit entdecken sind inklusive. Begrenzte Teilnehmerzahl, so dass es während des Workshops nur eine Gruppe geben wird und du volle 90 Minuten Zeit auskosten kannst. Du hast eine Mitgliedschaft bei uns? Bitte melde dich via Mail (info@aerial-loft.de oder WhatsApp +491733429658 an und du erhältst 10% auf die Teilnahme)",,13:00 - 14:30,"ab 27,00 €",1 Einheit
WORKSHOP: Chair Dance,Aerial Dance,"Sonntag, 23. März 2025",,"Solitudestraße 48, 71638 Ludwigsburg",Aerial Loft,https://www.eversports.de/e/workshop/tCf_3LZ,Workshop,,"​Was braucht man, um schön tanzen zu können? Graziöse, bezaubernde Körperbewegungen, ein gutes Rhythmusgefühl und, natürlich die Emotionen! Das Ganze lernen wir bei unserem Special Chair Dance Kurs mit Anastasiia. Statt an der Pole oder mit dem Hoop ist in diesem Training der Stuhl unser Tanzpartner. Du hast eine Mitgliedschaft bei uns? Bitte melde dich via Mail (info@aerial-loft.de oder WhatsApp +491733429658 an und du erhältst 10% auf die DropIn)",,11:30 - 13:00,"ab 36,00 €",1 Einheit
WORKSHOP: Chair Dance,Aerial Dance,"Sonntag, 18. Mai 2025",,"Solitudestraße 48, 71638 Ludwigsburg",Aerial Loft,https://www.eversports.de/e/workshop/Y9JsyhM,Workshop,,"​Was braucht man, um schön tanzen zu können? Graziöse, bezaubernde Körperbewegungen, ein gutes Rhythmusgefühl und, natürlich die Emotionen! Das Ganze lernen wir bei unserem Special Chair Dance Kurs mit Anastasiia. Statt an der Pole oder mit dem Hoop ist in diesem Training der Stuhl unser Tanzpartner. Du hast eine Mitgliedschaft bei uns? Bitte melde dich via Mail (info@aerial-loft.de oder WhatsApp +491733429658 an und du erhältst 10% auf die DropIn)",,14:45 - 16:15,"ab 36,00 €",1 Einheit
AERIAL DANCE,Tanzen,"Sonntag, 9. März 2025",,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",BALANCE Neumarkt,https://www.eversports.de/e/workshop/2BHtuy8,Workshop,,Eine hübsche und freche Choreografie mit dem Aerial Tuch als Tanzpartner. Voraussetzung: Aerial Yoga oder Tanzerfahrung,,12:00 - 13:30,"ab 35,00 €",1 Einheit
"Mindful Leadership | Emotionale Intelligenz, Eleganz und weibliche Stärke in der Führung",EVENTS,"Samstag, 15. Februar 2025",,Online,CSS AERIAL DANCE STUDIO,https://www.eversports.de/e/workshop/f5V5U6q,Workshop,,"Dauer: 4 Stunden (z. B. 10:00–14:00 Uhr) Beschreibung:Frauen stehen in Führungspositionen oft vor besonderen Herausforderungen: Sie werden für ihr Auftreten stärker beurteilt, müssen sich in männerdominierten Branchen behaupten und gleichzeitig ihre Balance zwischen Karriere und Privatleben finden. Doch Führung muss sich nicht wie ein ständiger Kampf anfühlen. In diesem Workshop lernst du, wie du deinen eigenen Führungsstil entwickelst – authentisch, weiblich und selbstbewusst. Entdecke, wie du emotionale Intelligenz einsetzt, um Teams zu leiten, Konflikte souverän zu lösen und mit Kritik gelassen umzugehen. Was dich erwartet: Zielgruppe:Dieser Workshop ist für Frauen, die: 💡 Buche diesen Workshop einzeln oder in Kombination mit „Pole Dance meets Leadership“ für ein umfassendes Erlebnis.",,10:00 - 14:00,"ab 149,00 €",1 Einheit
Lapdance | Hot as Hell,EVENTS,"Beginnt am Samstag, 1. März 2025",,"Hummelsbütteler Steindamm 84, 22851 Norderstedt",CSS AERIAL DANCE STUDIO,https://www.eversports.de/e/workshop/epQRSKB,Workshop,,"**🔥 Workshop: Lapdance – Hot as Hell 🔥** 💃 **Entfessle deine Sinnlichkeit und Power!** 💃  In diesem Workshop lernst du, wie du mit Eleganz, Leidenschaft und einem Hauch von Verführung die Kunst des Lapdance meisterst. Ob für dich selbst oder für einen besonderen Moment – hier entfachst du das Feuer in dir! Es geht vor allem um den Partner auf dem Stuhl & verführen… ✨ **Was dich erwartet:**  - 🤸‍♀️ Sinnliche Bewegungen und fließende Übergänge  - 💺 Moves mit und um den Stuhl - wir machen Partnerarbeit um den Lapdance richtig zu üben - 🎶 Ausdrucksstarke Choreografien zu heißer Musik  - 🌟 Tipps für Selbstbewusstsein und Körpergefühl  🔥 **Für wen?**  Für alle, die Lust haben, ihre innere Göttin zu feiern – keine Vorkenntnisse nötig! 👑  💌 **Dresscode:**  Fühl dich wohl und sexy – bring hohe Schuhe und Kleidung, in der du dich unwiderstehlich fühlst! (z. B. Body, Strapsen.—was du für dein Lapdance haben willst - um zu verführen).  💥 **Sei bereit, die Bühne zu rocken und die Hitze zu spüren – it’s time to be Hot as Hell!** 💥  📩 **Sicher dir deinen Platz und let’s dance!** 💃🔥",,"Hummelsbütteler Steindamm 84, 22851 Norderstedt","ab 60,00 €",2 Einheiten
Aerial Hoop Newbies - 4 Wochen Kurs,Aerial Hoop,"Beginnt am Sonntag, 16. Februar 2025",,18:00 - 19:15,Cheesy Heaven,https://www.eversports.de/e/workshop/ITQGtSZ,Workshop,,"Willkommen in der Welt der Luftakrobatik. Dieser Kurs richtet sich an absolute Neuanfänger, die sich am Ring ausprobieren möchten.In diesem 4-Wochen Kurs lernst du die Basics im und am Aerial Hoop.Dieser Kurs ist Vorraussetzung, um an einem Aerial Hoop Beginner Kurs teilnehmen zu können.Keine Sorge du musst für diesen Newbies Kurs aboslut keine Vorkenntnisse, besondere Kraft oder Flexibilität mitbringen.Probiere dich einfach mal aus lasse dich vom Hoop faszinieren!Bringe gerne deine eingene Matte, ein Handtuch und etwas zu trinken mit. Wir haben zur Not, aber auch alles wichtige vor Ort!Beachte:- Für den Hoop solltest du lange, enganliegende Kleidung tragen. Bauch, Beine und möglichst auch deine Arme sollten bedeckt sein.Die Kleidung sollte aber auch keine Reisverschlüsse, Knöpfe oder ähnliches dran haben, woran du dich verletzen könntest. Lasse außerdem bitte deinen Schmuck zu Hause oder in der Umkleide.Wir freuen uns auf deinen Besuch! :)",,"Papenstieg 2, 38442 Wolfsburg","ab 60,00 €",4 Einheiten
Pole Dance Newbies - 4 Wochen Kurs,Poledance,"Beginnt am Freitag, 21. Februar 2025",,18:00 - 19:15,Cheesy Heaven,https://www.eversports.de/e/workshop/GCVKaOn,Workshop,,"Willkommen in der Welt der Luftakrobatik. Dieser Kurs richtet sich an absolute Neuanfänger, die sich an der Pole ausprobieren möchten. In diesem 4-Wochen Kurs lernst du die Basics rund um Pole Dance. Dieser Kurs ist Vorraussetzung, um an einem Pole Dance Beginner Kurs teilnehmen zu können. Keine Sorge du musst für diesen Newbie Kurs aboslut keine Vorkenntnisse, besondere Kraft oder Flexibilität mitbringen. Probiere dich einfach mal aus & lasse dich von der Stange fazsnieren! Bringe gerne deine eingene Matte, ein Handtuch und etwas zu trinken mit. Wir haben zur Not, aber auch alles wichtige vor Ort! Beachte: - Für die Pole solltest du kurze Kleidung tragen. Vor allem deine Beine sollten unbedeckt sein. Außerdem empfehlen wir 24h vorher sich nicht zu duschen, zu rasieren oder einzucremen. Deine Kleidung sollte aber auch keine Reisverschlüsse, Knöpfe oder ähnliches dran haben, woran du dich verletzen könntest. Lasse außerdem bitte deinen Schmuck zu Hause oder in der Umkleide. Wir freuen uns auf deinen Besuch! :)",,"Papenstieg 2, 38442 Wolfsburg","ab 60,00 €",4 Einheiten
Trapeze Workshop,Aerial Akrobatik,"Beginnt am Sonntag, 23. Februar 2025",,"Spinning Trapeze: Ticket für So. 23.02.2025, 14:30 - 16:00",Cheesy Heaven,https://www.eversports.de/e/workshop/AhhEHW2,Workshop,,"Trapeze  Static: In diesem Trapez Workshop dreht sich alles Tricks während sich das Trapez an einer statischen 2 Punkt Aufhängung befindet. Ein großer Bestandteil sind dabei verschiedene Schwingelemente und Balance Tricks.  Spinning: Lerne das Trapeze mit einer 1 Punkt kennen. Während du dich drehst, lernst du verschiedene Tricks im Trapez kennen und stärkst deiner Balance, Ausdauer, Flexibilität und Kraft. Wir freuen uns auf deinen Besuch!",,"Papenstieg 2, 38442 Wolfsburg","ab 40,00 €",2 Einheiten
Lollipop - Privat Classes*,Aerial Akrobatik,"Beginnt am Sonntag, 2. März 2025",,"Lollipop - Ticket für So. 09.03.2025, 14:30 - 16:00",Cheesy Heaven,https://www.eversports.de/e/workshop/AtP2rtG,Workshop,,"*Die Privat Classes finden zu zweit statt. Es muss kein Partner vorab gesucht werden. Partnerübung sind kein wesentlicher Bestandteil des Kurses, können aber optional ergänzt werden. Lollipop ist eine Mischung aus Hoop und Pole, welches beide Sportarten auf eine kreative Art und Weise kombiniert. Dabei sind nicht nur neue Kreationen von Übungen möglich, einige Tricks werden auch einfachere oder besondere. In dieser Class lernst du verschiedene Tricks am Lollipop und eine kleine Abfolge, die sich indivuduell an dein Level anpassen lässt. Vorraussetzung ist mindest ein 4-Wochen Newbies Kurs in einer der beiden Sportarten oder vergleichbar!",,"Papenstieg 2, 38442 Wolfsburg","ab 50,00 €",4 Einheiten
Acro Yoga mit Sara,Yoga,"Samstag, 5. April 2025",,"Papenstieg 2, 38442 Wolfsburg",Cheesy Heaven,https://www.eversports.de/e/workshop/iq3IAkL,Workshop,,"Über Sara: Ich bin Sara aus Hamburg und unterrichte seit 6 Jahren AcroYoga. Am liebsten bringe ich bewegungsbegeisterten Menschen die Grundlagen von diesem Sport bei - das Strahlen und die Überraschung die AcroYoga in den meisten hervorruft, weil sie etwas geschafft haben, was sie noch vor wenigen Minuten für unmöglich gehalten haben, ist einfach unbezahlbar :-) In meinen Workshops praktizieren wir in 3er Gruppen. Die Rollen wechseln wir immer wieder durch - du wirst also wenn du das möchtest, sowohl fliegen, als auch basen und spotten. Nach einem kleinen Warm-Up beschäftigen wir uns mit den ersten Grundfiguren und vielleicht auch schon einem ersten Übergang zwischen zwei Figuren. Du brauchst keinerlei Voraussetzungen dafür - weder im Yoga noch in der Akrobatik! Wir freuen uns sehr, Sara für diesen spannenden Workshop bei uns begrüßen zu dürfen!",,14:00 - 16:00,"ab 70,00 €",1 Einheit
Feel like a bat - Die Inside leghang- Trilogie,Poledance,"Beginnt am Sonntag, 26. Januar 2025",,5er Karte (Neukunden bitte vorher eine email an info@dabecca.de !),Da Becca Flow and Fit,https://www.eversports.de/e/workshop/WZz5iSt,Workshop,,"In dieser kleinen aber feinen Trilogie widmen wir uns ausgiebig dem - ach so gefürchteten - Leghang. Ihr zahlt einmalig für alle drei stunden zusammen da diese aufeinander aufbauen, falls ihr es zu einer stunde nicht schafft ist es schade aber nicht schlimm. In dieser Trilogie bauen wir den Insideleghand zunächst grundlegend auf und erarbeiten uns anschliessend schöne Shapes für verschiedene Level . Je nach Niveaustufe variieren wir die Shapes in den folgenden Stunden zu komplexeren Varianten . Geeignet ab fortg. Beginner . Um an diesem Kurs teilnehmen zu können solltest du folgendes beherrschen: Invert aus dem Stand oder Klettern und Übergang in den jasmin . Der Normalpreis für eine 60 minütige Stunde mit einer 5er Karte beträgt 15€ wenn ihr jedeoch 10er Karten oder 20er kauft werden diese natürlich günstiger . Da die Workshops damit auch bezahlt werden können, habt ihr auch da manchmal automatisch einen Rabatt. Ihr zahlt einmalig für alle drei stunden zusammen da diese aufeinander aufbauen, falls ihr es zu einer stunde nicht schafft ist es schade aber nicht schlimm.",,"Eickeler Markt 3A, 44651 Herne","ab 45,00 €",3 Einheiten
Exotic Flow and Transitions - a Trilogie,Poledance,"Beginnt am Sonntag, 2. Februar 2025",,5er Karte (Neukunden bitte vorher eine email an info@dabecca.de !),Da Becca Flow and Fit,https://www.eversports.de/e/workshop/QpNqbIh,Workshop,,"Ihr zahlt einmalig für alle drei stunden zusammen da diese aufeinander aufbauen, falls ihr es zu einer stunde nicht schafft ist es schade aber nicht schlimm. Exotic - Flow & Transition Flows Gemeinsam arbeiten wir in dieser Trilogie an fließenden Transitions und Bewegungen rund um die Pole und mit dem Boden. Erfahrt, wie ihr euren ganzen Körper für den besten Flow nutzt. Der Kurs findet an einer Static Pole statt. Vorerfahrungen im Bereich Exotic brauchst Du keine, solltest jedoch schon mal auf Heels gestanden haben und mindestens im Pole Level Beginner sein. Für die Fortgeschritteneren unter Euch hat Kim immer etwas parat. Selbstverständlich könnt Ihr auch ohne Heels mitmachen. Bitte bringt Knieschoner mit.",,"Eickeler Markt 3A, 44651 Herne","ab 45,00 €",3 Einheiten
Prep your Shooting Shapes -Trilogie,Poledance,"Beginnt am Sonntag, 30. März 2025",,5er Karte (Neukunden bitte vorher eine email an info@dabecca.de !),Da Becca Flow and Fit,https://www.eversports.de/e/workshop/wmOvI81,Workshop,,"Tricks & Tips - Die Shooting-Shapes Trilogie Diese Trilogie richtet sich an alle Polerinas, die sich auf ihr erstes Pole-Shooting vorbereiten und nach schönen Shapes suchen. Wir erarbeiten uns einfache, aber schöne Pole-Beginner-Shapes für Eurer (erstes) Pole Shooting. Je nach Kraft und Flexibilität variieren wir die Shapes. Ihr erhaltet zudem wertvolle Tipps für die Shootingvorbereitung und das Shooting. Ihr zahlt einmalig für alle drei Stunden zusammen. Falls ihr es zu einer Stunde nicht schafft, ist es schade, aber nicht schlimm. Geeignet ab Beginner. Um an diesem Kurs teilnehmen zu können, solltest Du folgendes beherrschen:  Jasmin, Sitzen an der Stange, Klettern, Hood Ornament.",,"Eickeler Markt 3A, 44651 Herne","ab 39,00 €",3 Einheiten
Hanka Venselaar,Poledance,"Beginnt am Sonntag, 16. Februar 2025",,Static Rotations,Dance & Pole Solingen,https://www.eversports.de/e/workshop/nW19Iho,Workshop,,"POLE WORKSHOPS 1: Signature Tricks Uhrzeit: 12.00 -13.30 Uhr A little bit of everything! Learn fast combinations and signature tricks from Hanka's recent acts in this exciting workshop. Techniques such as the Tail Spin, Reverse Handspring, and Chinese Cartwheel will be broken down and explained in detail. Moves will be linked in new and creative combinations. We will also cover correct spotting techniques so everyone can practice their new skills safely. Requirements: Comfortable in aerial inverts 2: Static Rotations (Intermediate/Advanced) Uhrzeit: 13.45-15.15 Uhr These popular techniques will add flair to your routine! Discover the art of the endless rotating sequences that Hanka is known for. See how you can combine elements such as leg hang, brass monkey and superman into a new cool combo. Requirements: comfortable in inside and outside leg-hangs, jamilla, brass monkey 3: Pole Gymnastics (All Levels) Uhrzeit: 15.30-17.00 Uhr Gymnastics and pole dancing have a lot in common. In this workshop Hanka will use her 15 years of experience as a gymnast to focus on the gymnastic elements behind pole dancing. Discover the secrets of handstands, cartwheels, backflips and walkovers on and off the pole and improve your poleskills with correct basics. Requirements: pole sit, inverts",,"Weyerstraße 4, 42697 Solingen","ab 65,00 €",3 Einheiten
PIN-UP Burlesque Dance Workshop,Choreographie,"Samstag, 25. Januar 2025",,"Platenstraße 64, 90441 Nürnberg",Flow Fusion Pole-Aerial-Dance Studio,https://www.eversports.de/e/workshop/nPIN3vz,Workshop,,"Mitbringen: Nach dem Workshop Snacks und Sekt Der Pin-Up-Burlesque-Tanzworkshop kombiniert den Vintage-Glamour und die freche Verspieltheit der Pin-Up-Kultur der 1940er bis 50er Jahre mit dem verführerischen, theatralischen Stil der Burlesque. Diese Art von Workshop konzentriert sich typischerweise auf Selbstvertrauen, Körperbewusstsein und klassische Burlesque-Techniken mit einem spielerischen Retro-Twist, der sich am kultigen Pin-up-Stil dieser Ära orientiert. Das Ziel ist es, die Weiblichkeit und Kreativität durch diesen Tanzstil zu stärken und zu fördern.",,17:00 - 18:30,"ab 35,00 €",1 Einheit
Workshop: Pilates Fundamentals,Pilates,"Montag, 17. Februar 2025",,Gesamtticket,FlyHigh Aerial Fitness,https://www.eversports.de/e/workshop/ICI8CnX,Workshop,,"Möchtest du etwas Neues ausprobieren und gleichzeitig Körper und Geist in Einklang bringen? In unsererem Schnupperworkshop ""Pilates Fundamentals"" lernst du die Basics dieser effektiven Trainingsmethode kennen. 🌟 Was erwartet dich? Diese Stunde ist ideal für alle, die Pilates von Grund auf entdecken oder ihre Basis auffrischen möchten – ganz ohne Vorkenntnisse!",,19:00 - 20:00,"ab 19,00 €",1 Einheit
